date,age,deaths
2001-12-28,80,1
2001-12-28,91,1
2001-12-29,56,1
2001-12-29,71,1
2001-12-29,76,1
2001-12-29,78,1
2001-12-29,79,1
2001-12-29,84,1
2001-12-29,89,1
2001-12-31,60,1
2001-12-31,68,1
2001-12-31,69,2
2001-12-31,72,1
2001-12-31,77,1
2001-12-31,79,1
2001-12-31,86,1
2001-12-31,88,1
2001-12-31,97,1
2002-01-01,67,1
2002-01-02,1,1
2002-01-02,62,1
2002-01-02,68,1
2002-01-02,71,1
2002-01-02,76,1
2002-01-02,90,1
2002-01-03,39,1
2002-01-03,65,1
2002-01-03,73,1
2002-01-03,76,1
2002-01-03,79,1
2002-01-03,82,1
2002-01-04,65,1
2002-01-04,71,1
2002-01-04,80,2
2002-01-04,81,1
2002-01-04,84,1
2002-01-04,86,1
2002-01-05,70,1
2002-01-05,82,1
2002-01-05,84,1
2002-01-05,87,1
2002-01-06,65,1
2002-01-06,72,1
2002-01-06,74,1
2002-01-06,81,2
2002-01-06,86,1
2002-01-06,89,1
2002-01-06,91,1
2002-01-07,75,1
2002-01-07,81,1
2002-01-07,82,1
2002-01-07,85,1
2002-01-07,88,2
2002-01-07,94,1
2002-01-08,79,1
2002-01-09,76,1
2002-01-09,84,1
2002-01-10,48,1
2002-01-10,81,1
2002-01-11,74,2
2002-01-11,77,1
2002-01-11,79,2
2002-01-11,80,1
2002-01-11,81,1
2002-01-11,89,1
2002-01-12,44,1
2002-01-12,76,1
2002-01-12,79,1
2002-01-12,87,1
2002-01-13,61,1
2002-01-13,72,1
2002-01-13,91,1
2002-01-14,79,1
2002-01-14,90,1
2002-01-15,66,1
2002-01-15,71,1
2002-01-15,76,1
2002-01-15,81,1
2002-01-15,89,1
2002-01-15,90,1
2002-01-16,40,1
2002-01-16,67,1
2002-01-16,69,1
2002-01-16,73,1
2002-01-16,89,2
2002-01-16,94,1
2002-01-17,65,1
2002-01-17,76,1
2002-01-17,77,2
2002-01-17,87,1
2002-01-17,88,1
2002-01-18,50,1
2002-01-18,68,1
2002-01-18,74,1
2002-01-18,76,1
2002-01-18,81,1
2002-01-18,89,1
2002-01-18,92,1
2002-01-19,51,1
2002-01-19,72,1
2002-01-19,80,1
2002-01-19,81,1
2002-01-20,40,1
2002-01-20,70,1
2002-01-20,73,2
2002-01-20,82,1
2002-01-21,87,1
2002-01-22,51,1
2002-01-22,58,1
2002-01-22,63,1
2002-01-22,72,1
2002-01-22,77,1
2002-01-22,78,1
2002-01-22,81,1
2002-01-23,42,1
2002-01-23,64,1
2002-01-23,67,1
2002-01-23,96,1
2002-01-24,61,1
