year,age,residents
2002,0,1155
2002,1,1201
2002,2,1235
2002,3,1301
2002,4,1370
2002,5,1376
2002,6,1423
2002,7,1514
2002,8,1601
2002,9,1529
2002,10,1637
2002,11,1634
2002,12,1660
2002,13,1671
2002,14,1630
2002,15,1658
2002,16,1742
2002,17,1808
2002,18,1742
2002,19,1782
2002,20,1811
2002,21,1738
2002,22,1654
2002,23,1642
2002,24,1607
2002,25,1617
2002,26,1705
2002,27,1853
2002,28,1866
2002,29,1962
2002,30,2093
2002,31,2069
2002,32,2165
2002,33,2263
2002,34,2221
2002,35,2359
2002,36,2318
2002,37,2416
2002,38,2518
2002,39,2477
2002,40,2401
2002,41,2425
2002,42,2473
2002,43,2328
2002,44,2282
2002,45,2256
2002,46,2173
2002,47,2083
2002,48,1985
2002,49,2060
2002,50,1947
2002,51,2010
2002,52,2057
2002,53,2038
2002,54,1925
2002,55,1343
2002,56,1090
2002,57,1422
2002,58,1428
2002,59,1382
2002,60,1765
2002,61,2103
2002,62,2098
2002,63,1503
2002,64,1466
2002,65,1508
2002,66,1506
2002,67,1445
2002,68,1463
2002,69,1534
2002,70,1458
2002,71,1470
2002,72,1408
2002,73,1402
2002,74,1337
2002,75,1345
2002,76,1342
2002,77,1295
2002,78,1224
2002,79,1153
2002,80,1112
2002,81,874
2002,82,697
2002,83,344
2002,84,280
2002,85,275
2002,86,284
2002,87,401
2002,88,342
2002,89,286
2002,90,190
2002,91,162
2002,92,112
2002,93,90
2002,94,56
2002,95,35
2002,96,26
2002,97,18
2002,98,11
2002,99,7
2002,100,11
2003,0,1154
2003,1,1208
2003,2,1218
2003,3,1250
2003,4,1332
2003,5,1387
2003,6,1394
2003,7,1438
2003,8,1519
2003,9,1609
2003,10,1540
2003,11,1647
2003,12,1649
2003,13,1671
2003,14,1682
2003,15,1633
2003,16,1680
2003,17,1746
2003,18,1798
2003,19,1710
2003,20,1751
2003,21,1775
2003,22,1720
2003,23,1630
2003,24,1636
2003,25,1587
2003,26,1619
2003,27,1697
2003,28,1852
2003,29,1868
2003,30,1958
2003,31,2097
2003,32,2093
2003,33,2188
2003,34,2281
2003,35,2228
2003,36,2361
2003,37,2322
2003,38,2426
2003,39,2519
2003,40,2475
2003,41,2397
2003,42,2423
2003,43,2473
2003,44,2336
2003,45,2279
2003,46,2254
2003,47,2180
2003,48,2074
2003,49,1984
2003,50,2054
2003,51,1938
2003,52,2006
2003,53,2056
2003,54,2040
2003,55,1919
2003,56,1335
2003,57,1094
2003,58,1419
2003,59,1429
2003,60,1387
2003,61,1763
2003,62,2092
2003,63,2083
2003,64,1492
2003,65,1452
2003,66,1486
2003,67,1492
2003,68,1416
2003,69,1433
2003,70,1507
2003,71,1421
2003,72,1425
2003,73,1374
2003,74,1353
2003,75,1288
2003,76,1295
2003,77,1285
2003,78,1238
2003,79,1166
2003,80,1082
2003,81,1041
2003,82,797
2003,83,638
2003,84,315
2003,85,253
2003,86,235
2003,87,249
2003,88,346
2003,89,284
2003,90,227
2003,91,158
2003,92,124
2003,93,84
2003,94,65
2003,95,45
2003,96,24
2003,97,17
2003,98,12
2003,99,5
2003,100,11
2004,0,1163
2004,1,1183
2004,2,1230
2004,3,1230
2004,4,1264
2004,5,1350
2004,6,1395
2004,7,1413
2004,8,1457
2004,9,1525
2004,10,1619
2004,11,1550
2004,12,1660
2004,13,1658
2004,14,1687
2004,15,1683
2004,16,1638
2004,17,1681
2004,18,1732
2004,19,1767
2004,20,1680
2004,21,1733
2004,22,1754
2004,23,1697
2004,24,1620
2004,25,1625
2004,26,1594
2004,27,1623
2004,28,1707
2004,29,1867
2004,30,1878
2004,31,1969
2004,32,2122
2004,33,2104
2004,34,2194
2004,35,2304
2004,36,2244
2004,37,2381
2004,38,2333
2004,39,2442
2004,40,2528
2004,41,2485
2004,42,2414
2004,43,2431
2004,44,2478
2004,45,2324
2004,46,2277
2004,47,2256
2004,48,2179
2004,49,2081
